,name,N(substitution),N(pairwise),N(pairwise with co-conservation),rate
0,B.1.617.2(Delta),4,6.0,1,0.16666666666666666
1,BA.1(Omicron),30,435.0,170,0.39080459770114945
2,BA.2(Omicron),27,351.0,178,0.5071225071225072
3,BA.4(Omicron),2,1.0,0,0.0
4,BA.5(Omicron),2,1.0,0,0.0
5,BA.2Â + L452X(Omicron),28,378.0,195,0.5158730158730159
6,B.1.1.7(Alpha),3,3.0,1,0.3333333333333333
7,B.1.1.7+E484K,4,6.0,1,0.16666666666666666
8,B.1.427/B.1.429(Epsilon),2,1.0,1,1.0
9,B.1.525(Eta),3,3.0,0,0.0
10,P.3(Theta),4,6.0,1,0.16666666666666666
11,B.1.617.1(Kappa),4,6.0,1,0.16666666666666666
12,B.1.620,4,6.0,0,0.0
13,B.1.617.3,4,6.0,1,0.16666666666666666
14,A.23.1+E484K,3,3.0,1,0.3333333333333333
15,A.27,4,6.0,5,0.8333333333333334
16,A.28,3,3.0,1,0.3333333333333333
17,C.16,2,1.0,1,1.0
18,B.1.351+P384L,6,15.0,8,0.5333333333333333
19,B.1.351+E516Q,6,15.0,10,0.6666666666666666
20,B.1.1.7+L452R,4,6.0,3,0.5
21,B.1.1.7+S494P,4,6.0,1,0.16666666666666666
22,B.1.526(Iota),3,3.0,1,0.3333333333333333
23,B.1.526.1,2,1.0,1,1.0
24,P.2(Zeta),2,1.0,0,0.0
25,B.1.1.519,2,1.0,0,0.0
26,AV.1,4,6.0,1,0.16666666666666666
27,AT.1,3,3.0,0,0.0
28,C.36+L452R,3,3.0,1,0.3333333333333333
29,B.1.621(Mu),5,10.0,3,0.3
30,C.37(Lambda),3,3.0,1,0.3333333333333333
31,AY.4.2,6,15.0,6,0.4
32,B.1.1.318,3,3.0,0,0.0
33,C.1.2,6,15.0,3,0.2
34,B.1.351(Beta),5,10.0,6,0.6
35,P.1(Gamma),5,10.0,6,0.6
